1, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_mage, 10, 1, 1
2, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_knight, 10, 1, 1
3, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one, 10, 1, 1
4, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:spider, 80, 4, 4
5, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:zombie, 80, 4, 4
6, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:zombie_villager, 10, 1, 1
7, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:skeleton, 80, 4, 4
8, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:creeper, 80, 4, 4
9, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:slime, 80, 4, 4
10, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:enderman, 5, 1, 4
11, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:witch, 5, 1, 1
12, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:drowned, 10, 1, 1
13, ocean, alexscaves:abyssal_chasm, MONSTER, alexsmobs:farseer, 30, 1, 1
14, ocean, alexscaves:abyssal_chasm, AMBIENT, alexsmobs:fly, 10, 2, 3
15, ocean, alexscaves:abyssal_chasm, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
16, ocean, alexscaves:abyssal_chasm, UNDERGROUND_WATER_CREATURE, alexscaves:hullbreaker, 10, 1, 1
17, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, minecraft:squid, 10, 1, 4
18, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
19, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, alexsmobs:frilled_shark, 11, 1, 1
20, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, alexsmobs:giant_squid, 10, 1, 2
21, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexscaves:lanternfish, 80, 15, 20
22, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexsmobs:blobfish, 30, 2, 2
23, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
24, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexsmobs:flying_fish, 10, 3, 6
25, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, aquaculture:atlantic_halibut, 10, 1, 1
26, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
27, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
28, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
29, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
30, ocean, alexscaves:abyssal_chasm, deep_sea_creature, alexscaves:tripodfish, 40, 1, 2
31, ocean, alexscaves:abyssal_chasm, deep_sea_creature, alexscaves:sea_pig, 50, 3, 4
32, ocean, alexscaves:abyssal_chasm, deep_sea_creature, alexscaves:gossamer_worm, 20, 1, 1
33, ocean, alexscaves:abyssal_chasm, rascals, friendsandfoes:rascal, 10, 1, 1
34, none, deep_aether:aerglow_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
35, none, deep_aether:aerglow_forest, CREATURE, aether:phyg, 10, 3, 4
36, none, deep_aether:aerglow_forest, CREATURE, aether:sheepuff, 12, 3, 4
37, none, deep_aether:aerglow_forest, CREATURE, aether:flying_cow, 12, 2, 5
38, none, deep_aether:aerglow_forest, CREATURE, aether:aerbunny, 11, 3, 3
39, none, deep_aether:aerglow_forest, CREATURE, aether:moa, 10, 1, 3
40, none, deep_aether:aerglow_forest, CREATURE, deep_aether:quail, 15, 2, 5
41, none, deep_aether:aerglow_forest, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
42, none, deep_aether:aerglow_forest, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
43, none, deep_aether:aerglow_forest, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
44, none, deep_aether:aerglow_forest, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
45, none, deep_aether:aerglow_forest, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
46, none, deep_aether:aerglow_forest, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
47, none, deep_aether:aerglow_forest, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
48, none, deep_aether:aerglow_forest, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
49, none, deep_aether:aerglow_forest, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
50, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:aechor_plant, 10, 1, 1
51, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:blue_swet, 10, 1, 1
52, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:golden_swet, 10, 1, 1
53, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:whirlwind, 10, 1, 1
54, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:evil_whirlwind, 10, 1, 1
55, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether_redux:vanilla_swet, 10, 1, 2
56, none, deep_aether:aerglow_forest, AETHER_DARKNESS_MONSTER, aether:cockatrice, 10, 1, 1
57, none, deep_aether:aerglow_forest, AETHER_SKY_MONSTER, aether:zephyr, 20, 1, 1
58, none, deep_aether:aerglow_forest, AETHER_AERWHALE, aether:aerwhale, 10, 1, 1
59, none, deep_aether:aerlavender_fields, MONSTER, alexsmobs:farseer, 30, 1, 1
60, none, deep_aether:aerlavender_fields, CREATURE, aether:phyg, 10, 3, 4
61, none, deep_aether:aerlavender_fields, CREATURE, aether:sheepuff, 12, 3, 4
62, none, deep_aether:aerlavender_fields, CREATURE, aether:flying_cow, 12, 2, 5
63, none, deep_aether:aerlavender_fields, CREATURE, aether:aerbunny, 11, 3, 3
64, none, deep_aether:aerlavender_fields, CREATURE, aether:moa, 10, 1, 3
65, none, deep_aether:aerlavender_fields, CREATURE, deep_aether:quail, 15, 2, 5
66, none, deep_aether:aerlavender_fields, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
67, none, deep_aether:aerlavender_fields, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
68, none, deep_aether:aerlavender_fields, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
69, none, deep_aether:aerlavender_fields, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
70, none, deep_aether:aerlavender_fields, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
71, none, deep_aether:aerlavender_fields, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
72, none, deep_aether:aerlavender_fields, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
73, none, deep_aether:aerlavender_fields, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
74, none, deep_aether:aerlavender_fields, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
75, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:aechor_plant, 10, 1, 1
76, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:blue_swet, 10, 1, 1
77, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:golden_swet, 10, 1, 1
78, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:whirlwind, 10, 1, 1
79, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:evil_whirlwind, 10, 1, 1
80, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether_redux:vanilla_swet, 10, 1, 2
81, none, deep_aether:aerlavender_fields, AETHER_DARKNESS_MONSTER, aether:cockatrice, 10, 1, 1
82, none, deep_aether:aerlavender_fields, AETHER_SKY_MONSTER, aether:zephyr, 20, 1, 1
83, none, deep_aether:aerlavender_fields, AETHER_AERWHALE, aether:aerwhale, 10, 1, 1
84, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:spider, 80, 4, 4
85, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie, 80, 4, 4
86, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie_villager, 10, 1, 1
87, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:skeleton, 80, 4, 4
88, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:slime, 80, 4, 4
89, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:enderman, 5, 1, 4
90, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:witch, 5, 1, 1
91, forest, regions_unexplored:alpha_grove, MONSTER, alexsmobs:centipede_head, 10, 1, 1
92, forest, regions_unexplored:alpha_grove, MONSTER, alexsmobs:farseer, 30, 1, 1
93, forest, regions_unexplored:alpha_grove, MONSTER, alexsmobs:murmur, 10, 1, 1
94, forest, regions_unexplored:alpha_grove, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
95, forest, regions_unexplored:alpha_grove, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
96, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:sheep, 12, 4, 4
97, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:pig, 10, 4, 4
98, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:chicken, 10, 4, 4
99, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:cow, 10, 4, 4
100, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
101, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:raccoon, 10, 2, 4
102, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:snow_leopard, 18, 1, 2
103, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:crow, 10, 3, 5
104, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:blue_jay, 16, 2, 4
105, forest, regions_unexplored:alpha_grove, AMBIENT, minecraft:bat, 10, 8, 8
106, forest, regions_unexplored:alpha_grove, AMBIENT, alexsmobs:fly, 10, 2, 3
107, forest, regions_unexplored:alpha_grove, AMBIENT, alexsmobs:cockroach, 10, 5, 5
108, forest, regions_unexplored:alpha_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
109, forest, regions_unexplored:alpha_grove, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
110, forest, regions_unexplored:alpha_grove, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
111, forest, regions_unexplored:alpha_grove, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
112, forest, regions_unexplored:alpha_grove, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
113, forest, regions_unexplored:alpha_grove, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
114, forest, regions_unexplored:alpha_grove, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
115, forest, regions_unexplored:alpha_grove, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
116, forest, regions_unexplored:alpha_grove, rascals, friendsandfoes:rascal, 10, 1, 1
117, none, terralith:alpha_islands, MONSTER, minecraft:spider, 80, 4, 4
118, none, terralith:alpha_islands, MONSTER, minecraft:zombie, 80, 4, 4
119, none, terralith:alpha_islands, MONSTER, minecraft:skeleton, 80, 4, 4
120, none, terralith:alpha_islands, MONSTER, minecraft:creeper, 80, 4, 4
121, none, terralith:alpha_islands, MONSTER, minecraft:slime, 80, 4, 4
122, none, terralith:alpha_islands, MONSTER, alexsmobs:centipede_head, 10, 1, 1
123, none, terralith:alpha_islands, MONSTER, alexsmobs:farseer, 30, 1, 1
124, none, terralith:alpha_islands, MONSTER, alexsmobs:murmur, 10, 1, 1
125, none, terralith:alpha_islands, CREATURE, minecraft:sheep, 12, 4, 4
126, none, terralith:alpha_islands, CREATURE, minecraft:pig, 10, 4, 4
127, none, terralith:alpha_islands, CREATURE, minecraft:chicken, 10, 4, 4
128, none, terralith:alpha_islands, CREATURE, minecraft:cow, 10, 4, 4
129, none, terralith:alpha_islands, AMBIENT, alexsmobs:fly, 10, 2, 3
130, none, terralith:alpha_islands, AMBIENT, alexsmobs:cockroach, 10, 5, 5
131, none, terralith:alpha_islands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
132, none, terralith:alpha_islands, UNDERGROUND_WATER_CREATURE, minecraft:axolotl, 10, 4, 6
133, none, terralith:alpha_islands, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
134, none, terralith:alpha_islands, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
135, none, terralith:alpha_islands, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
136, none, terralith:alpha_islands, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
137, none, terralith:alpha_islands, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
138, none, terralith:alpha_islands, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
139, none, terralith:alpha_islands, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
140, none, terralith:alpha_islands, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
141, none, terralith:alpha_islands, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
142, none, terralith:alpha_islands, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
143, none, terralith:alpha_islands, rascals, friendsandfoes:rascal, 10, 1, 1
144, none, terralith:alpha_islands_winter, MONSTER, minecraft:spider, 80, 4, 4
145, none, terralith:alpha_islands_winter, MONSTER, minecraft:zombie, 80, 4, 4
146, none, terralith:alpha_islands_winter, MONSTER, minecraft:skeleton, 80, 4, 4
147, none, terralith:alpha_islands_winter, MONSTER, minecraft:slime, 80, 4, 4
148, none, terralith:alpha_islands_winter, MONSTER, alexsmobs:centipede_head, 10, 1, 1
149, none, terralith:alpha_islands_winter, MONSTER, alexsmobs:farseer, 30, 1, 1
150, none, terralith:alpha_islands_winter, MONSTER, alexsmobs:murmur, 10, 1, 1
151, none, terralith:alpha_islands_winter, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
152, none, terralith:alpha_islands_winter, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
153, none, terralith:alpha_islands_winter, CREATURE, minecraft:sheep, 12, 4, 4
154, none, terralith:alpha_islands_winter, CREATURE, minecraft:pig, 10, 4, 4
155, none, terralith:alpha_islands_winter, CREATURE, minecraft:chicken, 10, 4, 4
156, none, terralith:alpha_islands_winter, CREATURE, minecraft:cow, 10, 4, 4
157, none, terralith:alpha_islands_winter, CREATURE, alexsmobs:snow_leopard, 18, 1, 2
158, none, terralith:alpha_islands_winter, AMBIENT, alexsmobs:fly, 10, 2, 3
159, none, terralith:alpha_islands_winter, AMBIENT, alexsmobs:cockroach, 10, 5, 5
