1, structory:abandoned_camp, HEADING, header:ignore, 0, 0, 0
2, structory:abandoned_chapel, HEADING, header:ignore, 0, 0, 0
3, dungeons_arise:abandoned_temple, HEADING, header:ignore, 0, 0, 0
4, dungeons_arise:abandoned_temple, MONSTER, minecraft:stray, 10, 1, 1
5, incendium:abandoned_tower, HEADING, header:ignore, 0, 0, 0
6, alexscaves:abyssal_ruins, HEADING, header:ignore, 0, 0, 0
7, alexscaves:abyssal_ruins, MONSTER, alexscaves:mine_guardian, 30, 2, 4
8, hopo:acacia_mineshaft, HEADING, header:ignore, 0, 0, 0
9, alexscaves:acid_pit, HEADING, header:ignore, 0, 0, 0
10, imst:airship, HEADING, header:ignore, 0, 0, 0
11, imst:airship, MONSTER, minecraft:pillager, 10, 1, 1
12, imst:alpine_house, HEADING, header:ignore, 0, 0, 0
13, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
14, repurposed_structures:ancient_city_end, HEADING, header:ignore, 0, 0, 0
15, repurposed_structures:ancient_city_end, MONSTER, minecraft:phantom, 10, 1, 1
16, repurposed_structures:ancient_city_end, MONSTER, minecraft:endermite, 10, 3, 7
17, repurposed_structures:ancient_city_nether, HEADING, header:ignore, 0, 0, 0
18, repurposed_structures:ancient_city_nether, MONSTER, minecraft:ghast, 10, 6, 10
19, repurposed_structures:ancient_city_nether, MONSTER, minecraft:wither_skeleton, 10, 1, 3
20, repurposed_structures:ancient_city_ocean, HEADING, header:ignore, 0, 0, 0
21, repurposed_structures:ancient_city_ocean, MONSTER, minecraft:drowned, 10, 2, 5
22, cataclysm:ancient_factory, HEADING, header:ignore, 0, 0, 0
23, deeperdarker:ancient_temple, HEADING, header:ignore, 0, 0, 0
24, structory_towers:ancient_temple, HEADING, header:ignore, 0, 0, 0
25, betterarcheology:archeologist_camp_grassy, HEADING, header:ignore, 0, 0, 0
26, betterarcheology:archeologist_camp_redsand, HEADING, header:ignore, 0, 0, 0
27, betterarcheology:archeologist_camp_sand, HEADING, header:ignore, 0, 0, 0
28, mes:astral_hideaway, HEADING, header:ignore, 0, 0, 0
29, mes:astral_meteorite, HEADING, header:ignore, 0, 0, 0
30, dungeons_arise:aviary, HEADING, header:ignore, 0, 0, 0
31, dungeons_arise:aviary, MONSTER, minecraft:phantom, 60, 2, 3
32, imst:balloon, HEADING, header:ignore, 0, 0, 0
33, formationsoverworld:bamboo_hut, HEADING, header:ignore, 0, 0, 0
34, hopo:bamboo_mineshaft, HEADING, header:ignore, 0, 0, 0
35, imst:bandit_camp, HEADING, header:ignore, 0, 0, 0
36, imst:bandit_camp, MONSTER, minecraft:pillager, 10, 1, 1
37, dungeons_arise:bandit_towers, HEADING, header:ignore, 0, 0, 0
38, dungeons_arise:bandit_village, HEADING, header:ignore, 0, 0, 0
39, formationsnether:basalt_hut, HEADING, header:ignore, 0, 0, 0
40, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
41, repurposed_structures:bastion_underground, HEADING, header:ignore, 0, 0, 0
42, repurposed_structures:bastion_underground, MONSTER, minecraft:skeleton, 10, 1, 4
43, dungeons_arise:bathhouse, HEADING, header:ignore, 0, 0, 0
44, mvs:beach_bar, HEADING, header:ignore, 0, 0, 0
45, imst:beehouse, HEADING, header:ignore, 0, 0, 0
